lat,lon,walkability
62.459113,6.252668,0.085439034
62.459113,6.253468,0.120301594
62.459113,6.254268,0.155837
62.459113,6.255068,0.191734309
62.459113,6.255868,0.227677255
62.459113,6.256668,0.261890037
62.459113,6.257468,0.306764443
62.459113,6.258268,0.346122236
62.459113,6.259068,0.375081182
62.459113,6.259868,0.361428378
62.459113,6.260668,0.345695105
62.459113,6.261468,0.312868238
62.459113,6.262268,0.27552237
62.459113,6.263068,0.235341896
62.459113,6.263868,0.194465054
62.459113,6.264668,0.159087152
62.459113,6.265468,0.154884405
62.459113,6.266268,0.151105093
62.459113,6.267068,0.164726827
62.459113,6.267868,0.187380019
62.459113,6.268668,0.19935121
62.459113,6.269468,0.206240108
62.459113,6.270268,0.203447549
62.459113,6.271068,0.208153659
62.459113,6.271868,0.210526749
62.459113,6.272668,0.203140547
62.459113,6.273468,0.2130553
62.459113,6.274268,0.218618088
62.459113,6.275068,0.216506687
62.459113,6.275868,0.205699887
62.459113,6.276668,0.184024566
62.459113,6.277468,0.156076956
62.459113,6.278268,0.132029982
62.459113,6.279068,0.109623114
62.459113,6.279868,0.083220092
62.459113,6.280668,0.058711091
62.459113,6.281468,0.041135622
62.459113,6.283068,0.036106982
62.459113,6.283868,0.037068598
62.459113,6.284668,0.037711206
62.459113,6.285468,0.033001189
62.459113,6.333468,0.032734657
62.459113,6.334268,0.047949294
62.459113,6.335068,0.061864201
62.459113,6.335868,0.074830663
62.459113,6.336668,0.084834536
62.459113,6.337468,0.089864114
62.459113,6.338268,0.09262842
62.459113,6.339068,0.09030988
62.459113,6.339868,0.083678148
62.459113,6.340668,0.074233423
62.459113,6.341468,0.061739171
62.459113,6.342268,0.047709148
62.459113,6.343068,0.03217808
62.459113,6.348668,0.041610618
62.459113,6.349468,0.063356088
62.459113,6.350268,0.084625425
62.459113,6.351068,0.107218422
62.459113,6.351868,0.13382679
62.459113,6.352668,0.163181639
62.459113,6.353468,0.196792471
62.459113,6.354268,0.223645261
62.459113,6.355068,0.245600368
62.459113,6.355868,0.265175965
62.459113,6.356668,0.310723513
62.459113,6.357468,0.33496498
62.459113,6.358268,0.358707251
62.459113,6.359068,0.384211907
62.459113,6.359868,0.418091487
62.459113,6.360668,0.444501227
62.459113,6.361468,0.451682274
62.459113,6.362268,0.440991308
62.459113,6.363068,0.448554148
62.459113,6.363868,0.440161063
62.459113,6.364668,0.412606
62.459113,6.365468,0.374001604
62.459113,6.366268,0.365862496
62.459113,6.367068,0.355294981
62.459113,6.367868,0.338223796
62.459113,6.368668,0.324406705
62.459113,6.369468,0.307904461
62.459113,6.370268,0.284090089
62.459113,6.371068,0.254171713
62.459113,6.371868,0.235024744
62.459113,6.372668,0.216050779
62.459113,6.373468,0.192507491
62.459113,6.374268,0.160203886
62.459113,6.375068,0.124784114
62.459113,6.375868,0.101967671
62.459113,6.376668,0.090779361
62.459113,6.377468,0.080396165
62.459113,6.378268,0.067450232
62.459113,6.379068,0.051207171
62.459113,6.379868,0.033972647
62.459513,6.084668,0.128754982
62.459513,6.085468,0.150617981
62.459513,6.086268,0.1728739
62.459513,6.087068,0.195072022
62.459513,6.087868,0.19385057
62.459513,6.088668,0.173540024
62.459513,6.089468,0.190026413
62.459513,6.090268,0.191311221
62.459513,6.091068,0.17233371
62.459513,6.091868,0.154598865
62.459513,6.092668,0.13886404
62.459513,6.093468,0.123229433
62.459513,6.094268,0.107302968
62.459513,6.095068,0.093521086
62.459513,6.095868,0.087907705
62.459513,6.096668,0.081840809
62.459513,6.097468,0.075773913
62.459513,6.098268,0.070170399
62.459513,6.099068,0.064592429
62.459513,6.099868,0.059014458
62.459513,6.100668,0.053436488
62.459513,6.101468,0.047804116
62.459513,6.102268,0.041908126
62.459513,6.103068,0.036465651
62.459513,6.103868,0.031023177
62.459513,6.119068,0.03492425
62.459513,6.119868,0.048148437
62.459513,6.120668,0.05854955
62.459513,6.121468,0.079554585
62.459513,6.122268,0.095794166
62.459513,6.123068,0.104991541
62.459513,6.123868,0.109488025
62.459513,6.124668,0.128320543
62.459513,6.125468,0.152252649
62.459513,6.126268,0.182184974
62.459513,6.127068,0.225155304
62.459513,6.127868,0.263783213
62.459513,6.128668,0.293125535
62.459513,6.129468,0.311879613
62.459513,6.130268,0.316898314
62.459513,6.131068,0.313992058
62.459513,6.131868,0.334320246
62.459513,6.132668,0.343370978
62.459513,6.133468,0.337480959
62.459513,6.134268,0.313144124
62.459513,6.135068,0.271116071
62.459513,6.135868,0.22717593
62.459513,6.136668,0.182180121
62.459513,6.137468,0.138193934
62.459513,6.138268,0.09443328
62.459513,6.139068,0.067830949
62.459513,6.139868,0.042411571
62.459513,6.157468,0.031292517
62.459513,6.158268,0.050175697
62.459513,6.159068,0.070938192
62.459513,6.159868,0.089520339
62.459513,6.160668,0.110647018
62.459513,6.161468,0.130271962
62.459513,6.162268,0.149895046
62.459513,6.163068,0.169778039
62.459513,6.163868,0.189593172
62.459513,6.164668,0.206885742
62.459513,6.165468,0.204396425
62.459513,6.166268,0.190176065
62.459513,6.167068,0.176557178
62.459513,6.167868,0.155784939
62.459513,6.168668,0.135009478
62.459513,6.169468,0.11182014
62.459513,6.170268,0.087684051
62.459513,6.171068,0.064642338
62.459513,6.171868,0.040534737
62.459513,6.248668,0.034537929
62.459513,6.249468,0.0392793
62.459513,6.250268,0.041521544
62.459513,6.251068,0.041109024
